vehicleId ; vehicleTypeId ; capacity ; maxLoad ; usedCapacity[%]; load state during tour
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_35493_2;heavy26t;24.0;24;100;[5, 11, 15, 19, 24, 19, 14, 8, 4, 8, 14, 18, 22, 18, 12, 8, 4, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_35493_2;medium18t;16.0;15;93;[15, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_1;heavy26t;24.0;24;100;[5, 10, 14, 19, 24, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_10;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 18, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_11;heavy26t;24.0;23;95;[5, 9, 14, 18, 23, 18, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_12;heavy26t;24.0;23;95;[5, 9, 13, 18, 23, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_13;heavy26t;24.0;22;91;[4, 8, 12, 17, 22, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_14;heavy26t;24.0;23;95;[4, 8, 14, 18, 23, 17, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_15;heavy26t;24.0;24;100;[4, 9, 13, 17, 21, 24, 21, 17, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_16;heavy26t;24.0;24;100;[3, 7, 11, 15, 19, 24, 20, 16, 12, 8, 3, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_17;heavy26t;24.0;21;87;[4, 8, 12, 16, 21, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_18;heavy26t;24.0;22;91;[4, 9, 14, 18, 22, 17, 12, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_19;heavy26t;24.0;23;95;[5, 10, 15, 19, 23, 19, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_20;heavy26t;24.0;23;95;[4, 9, 14, 19, 23, 18, 14, 18, 23, 18, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_21;heavy26t;24.0;22;91;[4, 9, 14, 18, 22, 18, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_22;heavy26t;24.0;23;95;[4, 9, 14, 19, 23, 18, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_23;heavy26t;24.0;24;100;[4, 9, 14, 19, 24, 19, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_24;heavy26t;24.0;24;100;[5, 10, 15, 19, 24, 19, 14, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_25;heavy26t;24.0;24;100;[4, 10, 15, 19, 24, 20, 15, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_26;heavy26t;24.0;21;87;[4, 8, 12, 16, 21, 17, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_27;heavy26t;24.0;23;95;[4, 9, 13, 18, 23, 18, 14, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_28;heavy26t;24.0;23;95;[5, 9, 14, 19, 23, 18, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_29;heavy26t;24.0;24;100;[5, 10, 15, 20, 24, 19, 15, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_3;heavy26t;24.0;24;100;[4, 8, 14, 19, 24, 19, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_4;heavy26t;24.0;24;100;[4, 8, 14, 19, 24, 19, 13, 9, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_5;heavy26t;24.0;24;100;[4, 8, 13, 17, 21, 24, 20, 16, 12, 8, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_6;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 19, 14, 9, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_7;heavy26t;24.0;23;95;[4, 9, 13, 18, 23, 19, 15, 10, 5, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_8;heavy26t;24.0;23;95;[4, 8, 13, 18, 23, 18, 13, 8, 4, 0]
freight_lidl_DISCOUNTER_FRISCHE_veh_heavy26t_159381_9;heavy26t;24.0;22;91;[5, 9, 13, 17, 22, 17, 13, 9, 5, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_1;heavy26t_frozen;160.0;142;88;[5, 14, 21, 28, 35, 44, 50, 56, 65, 74, 80, 90, 100, 106, 112, 122, 127, 132, 142, 137, 132, 126, 117, 107, 97, 92, 85, 78, 72, 63, 56, 50, 40, 31, 21, 15, 9, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_heavy26t_frozen_159381_2;heavy26t_frozen;160.0;157;98;[10, 20, 25, 33, 43, 49, 55, 60, 66, 75, 80, 89, 95, 104, 112, 117, 127, 133, 138, 147, 157, 147, 137, 127, 122, 112, 103, 98, 93, 85, 76, 70, 64, 58, 49, 44, 39, 33, 24, 14, 8, 0]
freight_lidl_DISCOUNTER_TIEFKUEHL_veh_light8t_frozen_159381_3;light8t_frozen;70.0;59;84;[6, 13, 19, 25, 32, 39, 45, 51, 59, 53, 47, 40, 33, 25, 19, 13, 7, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_10;heavy26t;24.0;23;95;[19, 0, 23, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_11;heavy26t;24.0;24;100;[12, 24, 12, 0, 13, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_13;heavy26t;24.0;21;87;[19, 0, 17, 0, 21, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_14;heavy26t;24.0;23;95;[21, 0, 21, 0, 23, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_16;heavy26t;24.0;24;100;[23, 0, 19, 0, 24, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_3;heavy26t;24.0;22;91;[17, 0, 22, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_4;heavy26t;24.0;24;100;[12, 24, 12, 0, 14, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_5;heavy26t;24.0;22;91;[17, 0, 22, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_6;heavy26t;24.0;24;100;[12, 24, 12, 0, 15, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_7;heavy26t;24.0;24;100;[12, 24, 12, 0, 15, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_heavy26t_159381_8;heavy26t;24.0;23;95;[23, 0, 17, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_1;medium18t;16.0;13;81;[13, 0, 13, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_12;medium18t;16.0;16;100;[14, 0, 15, 0, 16, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_15;medium18t;16.0;15;93;[13, 0, 15, 0, 14, 0, 12, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_17;medium18t;16.0;15;93;[15, 0, 13, 0, 13, 0, 14, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_18;medium18t;16.0;16;100;[16, 0, 13, 0]
freight_lidl_DISCOUNTER_TROCKEN_veh_medium18t_159381_9;medium18t;16.0;16;100;[16, 0, 14, 0, 13, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_1;heavy26t;24.0;24;100;[18, 24, 6, 0, 3, 15, 22, 19, 7, 0]
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_10;heavy26t;24.0;21;87;[20, 0, 18, 21, 3, 0, 10, 21, 10, 0]
