vehicleId ; carrierId ; vehicleTypeId ; tourId ; tourDuration[s] ; travelDistance[m] ; costPerSecond[EUR/s] ; costPerMeter[EUR/m] ; fixedCosts[EUR] ; varCostsTime[EUR] ; varCostsDist[EUR] ; totalCosts[EUR];summe
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_1;edeka_SUPERMARKT_FRISCHE;heavy26t;1;23048.0;172535.60238677458;0.0049;6.7E-4;82.6;112.9352;115.59885359913898;311.13405359913895;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_10;edeka_SUPERMARKT_FRISCHE;heavy26t;10;15375.0;118526.33659569947;0.0049;6.7E-4;82.6;75.33749999999999;79.41264551911864;237.35014551911866;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_11;edeka_SUPERMARKT_FRISCHE;heavy26t;11;15655.0;112138.33045998386;0.0049;6.7E-4;82.6;76.70949999999999;75.13268140818919;234.44218140818919;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_12;edeka_SUPERMARKT_FRISCHE;heavy26t;12;16186.0;105787.31675398715;0.0049;6.7E-4;82.6;79.31139999999999;70.8775022251714;232.7889022251714;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_13;edeka_SUPERMARKT_FRISCHE;heavy26t;13;19343.0;117582.33733111953;0.0049;6.7E-4;82.6;94.7807;78.78016601185008;256.1608660118501;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_14;edeka_SUPERMARKT_FRISCHE;heavy26t;14;16559.0;113927.58377641662;0.0049;6.7E-4;82.6;81.1391;76.33148113019914;240.07058113019914;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_15;edeka_SUPERMARKT_FRISCHE;heavy26t;15;17200.0;100053.92650118188;0.0049;6.7E-4;82.6;84.28;67.03613075579186;233.91613075579187;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_16;edeka_SUPERMARKT_FRISCHE;heavy26t;16;14941.0;102502.07846498159;0.0049;6.7E-4;82.6;73.2109;68.67639257153766;224.48729257153767;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_17;edeka_SUPERMARKT_FRISCHE;heavy26t;17;15434.0;102961.37212524046;0.0049;6.7E-4;82.6;75.6266;68.98411932391112;227.21071932391112;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_18;edeka_SUPERMARKT_FRISCHE;heavy26t;18;15478.0;94723.35395789638;0.0049;6.7E-4;82.6;75.84219999999999;63.46464715179058;221.90684715179057;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_19;edeka_SUPERMARKT_FRISCHE;heavy26t;19;15893.0;100105.37143364373;0.0049;6.7E-4;82.6;77.8757;67.0705988605413;227.5462988605413;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_2;edeka_SUPERMARKT_FRISCHE;heavy26t;2;22394.0;171791.30508951496;0.0049;6.7E-4;82.6;109.7306;115.10017440997503;307.430774409975;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_20;edeka_SUPERMARKT_FRISCHE;heavy26t;20;14531.0;90045.5941131923;0.0049;6.7E-4;82.6;71.2019;60.33054805583885;214.13244805583884;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_21;edeka_SUPERMARKT_FRISCHE;heavy26t;21;14278.0;89494.65012479437;0.0049;6.7E-4;82.6;69.9622;59.96141558361223;212.5236155836122;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_22;edeka_SUPERMARKT_FRISCHE;heavy26t;22;16906.0;80877.22260052933;0.0049;6.7E-4;82.6;82.8394;54.18773914235466;219.62713914235462;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_23;edeka_SUPERMARKT_FRISCHE;heavy26t;23;13525.0;80764.99682005685;0.0049;6.7E-4;82.6;66.2725;54.112547869438096;202.9850478694381;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_3;edeka_SUPERMARKT_FRISCHE;heavy26t;3;18319.0;137546.61595574758;0.0049;6.7E-4;82.6;89.7631;92.15623269035088;264.51933269035084;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_4;edeka_SUPERMARKT_FRISCHE;heavy26t;4;19408.0;129324.46295094433;0.0049;6.7E-4;82.6;95.0992;86.6473901771327;264.3465901771327;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_5;edeka_SUPERMARKT_FRISCHE;heavy26t;5;17285.0;115361.30821117996;0.0049;6.7E-4;82.6;84.6965;77.29207650149057;244.58857650149054;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_6;edeka_SUPERMARKT_FRISCHE;heavy26t;6;17423.0;112536.39724199437;0.0049;6.7E-4;82.6;85.3727;75.39938615213623;243.3720861521362;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_7;edeka_SUPERMARKT_FRISCHE;heavy26t;7;18496.0;123224.20284511495;0.0049;6.7E-4;82.6;90.6304;82.56021590622701;255.790615906227;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_8;edeka_SUPERMARKT_FRISCHE;heavy26t;8;15093.0;117009.12778522861;0.0049;6.7E-4;82.6;73.9557;78.39611561610317;234.95181561610318;1
freight_edeka_SUPERMARKT_FRISCHE_veh_heavy26t_95392_9;edeka_SUPERMARKT_FRISCHE;heavy26t;9;17002.0;105540.84194575183;0.0049;6.7E-4;82.6;83.3098;70.71236410365373;236.62216410365372;1
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_1;edeka_SUPERMARKT_TIEFKUEHL;heavy26t_frozen;1;36491.0;214203.25331592376;0.0049;6.7E-4;82.6;178.8059;143.51617972166892;404.92207972166887;1
freight_edeka_SUPERMARKT_TIEFKUEHL_veh_heavy26t_frozen_95392_2;edeka_SUPERMARKT_TIEFKUEHL;heavy26t_frozen;2;33315.0;144601.51786547224;0.0049;6.7E-4;82.6;163.24349999999998;96.8830169698664;342.7265169698664;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_1;edeka_SUPERMARKT_TROCKEN;heavy26t;1;35363.0;226819.93447349418;0.0049;6.7E-4;82.6;173.2787;151.9693560972411;407.84805609724106;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_10;edeka_SUPERMARKT_TROCKEN;heavy26t;10;34057.0;199542.94280825826;0.0049;6.7E-4;82.6;166.8793;133.69377168153304;383.17307168153303;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_11;edeka_SUPERMARKT_TROCKEN;heavy26t;11;34098.0;188334.30311121707;0.0049;6.7E-4;82.6;167.0802;126.18398308451545;375.86418308451545;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_12;edeka_SUPERMARKT_TROCKEN;heavy26t;12;22598.0;124759.7649711663;0.0049;6.7E-4;82.6;110.7302;83.58904253068143;276.9192425306814;1
freight_edeka_SUPERMARKT_TROCKEN_veh_heavy26t_59933_13;edeka_SUPERMARKT_TROCKEN;heavy26t;13;32685.0;186966.48673243582;0.0049;6.7E-4;82.6;160.1565;125.267546110732;368.024046110732;1
